;;;TOTAL;Trail La Capitana 250;Sonrisa de Rafa 500;Trail Álora 1000;Sierra Blaca 1000;Sierra Elvira 1000;Sierra Morena 250;Lújar 250;Montellano 500;Dúrcal 500;Ubrique 250;Jubrique 250;Mágina 250;Pinsapo 500;Los Tajos 1000;Ruta agua 1000;Casares 250;Camp Esp Trail 2000;Cam Esp CxM 2000;Alpandeire 250;Zegama 2000;Igualeja 250;La Sagra 1000;Calar alto 250;Coripe 250;Zenete 250;OCC 2000;CCC 2000;Guajares 500;Gador Dalias 500;Benemerita 500;Cazorla Trails 1000;Chamizo 250;Macael 1000;Pamital 250;Almijara 500;Abades 1000;Jarapalos 2000;Faraján 500;;;;;;
ABSOLUTO MASCULINO
118;Ruben;Lopez Zuheros;87;0;0;0;0;0;0;0;0;0;0;0;87;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
119;Angel;Accino Suarez;87;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;87;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
120;Benet;Garcia Berenguer;87;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;87;0;0;0;0;;;;;;;;;;;;;;;;;
121;Francisco Luis;Medina Garcia;80;0;0;0;0;0;0;0;0;0;0;75;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
122;Josemi;Jimenez Martin ;77;0;0;0;0;0;0;0;0;0;0;0;0;60;0;0;0;0;0;0;0;17;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
123;Rafael;Alcaraz Santana;77;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;75;0;0;;;;;;;;;;;;;;;;;
124;Sebastian;Gomez;75;0;75;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
125;Jose;Godoy Ortiz;75;0;0;75;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
126;Jose Angel;Teba Lopez;75;0;0;0;75;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
127;Manuel;Diaz Corral;75;0;0;0;0;0;75;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
128;Josue;Fernandez de La Calle;75;0;0;0;0;0;0;0;0;75;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
129;Fernando;Trujillano Fernandez;75;0;0;0;50;0;0;0;0;0;6;17;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
130;Jose Rafael;Hernandez Garcia;75;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;75;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
131;Pedro;Consuegra Vivo;75;0;0;0;0;0;0;0;0;0;0;0;75;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
132;Mario;Molina Salas;75;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;75;0;0;0;0;;;;;;;;;;;;;;;;;
133;Alvaro;Lara Exposito;75;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;75;0;0;0;;;;;;;;;;;;;;;;;
134;Serafin;Gomez Miron;73;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;63;0;0;0;0;;;;;;;;;;;;;;;;;
135;Javier;Corrales Gallego;71;0;5;0;0;0;0;0;0;0;0;0;0;0;0;16;0;0;0;0;0;0;0;0;50;0;0;0;;;;;;;;;;;;;;;;;
136;Luis Ignacio;Pan Roman;70;0;0;0;0;0;0;0;60;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;6;0;0;0;;;;;;;;;;;;;;;;;
137;Sergio;Blanco Rodriguez;67;50;0;0;0;0;0;0;0;12;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
138;Manuel;Ruiz Ramirez;65;0;5;0;0;0;0;0;50;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
139;Alejandro;Martin Macias;65;0;5;0;0;10;0;0;0;0;0;0;0;0;0;50;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
